120:5||0:0||18:58||4:85||2025:1||85||1||638802249256350874
::1||638802249256350874
::1||638802264252266548
::1||638802269567990974
::1||638802272558933168
::1||638802865907894716
::1||638802883490830720
::1||638802886497190571
::1||638803088478191297
::1||638803091736145720
::1||638803112585416130
::1||638803116323119745
::1||638803122468570672
::1||638803124065977311
::1||638803137098989502
::1||638803150101222153
::1||638803741709691947
::1||638803758542990703
::1||638803775965969646
::1||638803827458137975
::1||638804687043847251
::1||638804711122828540
::1||638804720651742453
::1||638804779176089415
::1||638804794562467173
::1||638804798759669366
::1||638804825764179820
::1||638804882630818191
::1||638814108488943517
::1||638814109075883880
::1||638814116721657606
::1||638814133071543348
::1||638814135441315924
::1||638814137189527153
::1||638814137943406056
::1||638814143882080811
::1||638814147398318961
::1||638814155002233308
::1||638814158523312370
::1||638814161918088075
::1||638814173930641779
::1||638814177087402532
::1||638814181681062416
::1||638814185048875704
::1||638814242853643885
::1||638814252863861545
::1||638814281682938453
::1||638814303867264190
::1||638814313913167798
::1||638814327608710008
::1||638814335037720646
::1||638814341938118753
::1||638814392906025719
::1||638814394549844091
::1||638814396051230202
::1||638814989449013678
::1||638815025714516053
::1||638815051824369394
::1||638815057524260242
::1||638815062113667609
::1||638815066448333455
::1||638815071147644827
::1||638815073039942082
::1||638815097925242301
::1||638815127589047883
::1||638815141888416864
::1||638815156699176793
::1||638815179160477870
::1||638815181761789786
::1||638815190302083548
::1||638815194924377434
::1||638815196089086962
::1||638815203361743387
::1||638815212935976465
::1||638815215783539945
::1||638815227446311905
::1||638815232366582023
::1||638815235357375063
::1||638815243019295775
::1||638815254487141291
::1||638815271354522190
::1||638816018801101332
::1||638816053176321933
::1||638816059791322136
::1||638816342016986645
::1||638816344710832586
